"エラー: このエラーによって本の出版がブロックされます。出版するには、エラーを修正する必要があります。"
"注意: この問題によって本の出版がブロックされることはありません。影響が及ぶことはありませんので、無視しても問題ありません。"
"タイプ","内容紹介","ソース ファイル","行番号","警告またはエラーの前のテキスト","推奨される修正"
"注意","W14015: 画像が無効で、本に組み込まれていません :   /private/var/folders/27/q9rb64qs7_g8mh15q2zdyjz80000gn/T/170b891e-7002-44ee-9267-b0ce113f5b7f/cTemp/mTemp/mobi-Py7CZY/EPUB/stylesheets/images/door1.webp","","","",""
"注意","W14015: 画像が無効で、本に組み込まれていません :   /private/var/folders/27/q9rb64qs7_g8mh15q2zdyjz80000gn/T/170b891e-7002-44ee-9267-b0ce113f5b7f/cTemp/mTemp/mobi-Py7CZY/EPUB/stylesheets/images/door2.webp","","","",""
"注意","W14015: 画像が無効で、本に組み込まれていません :   /private/var/folders/27/q9rb64qs7_g8mh15q2zdyjz80000gn/T/170b891e-7002-44ee-9267-b0ce113f5b7f/cTemp/mTemp/mobi-Py7CZY/EPUB/stylesheets/images/floral.webp","","","",""
"注意","W14015: 画像が無効で、本に組み込まれていません :   /private/var/folders/27/q9rb64qs7_g8mh15q2zdyjz80000gn/T/170b891e-7002-44ee-9267-b0ce113f5b7f/cTemp/mTemp/mobi-Py7CZY/EPUB/stylesheets/images/old_scroll.webp","","","",""
"注意","W14015: 画像が無効で、本に組み込まれていません :   /private/var/folders/27/q9rb64qs7_g8mh15q2zdyjz80000gn/T/170b891e-7002-44ee-9267-b0ce113f5b7f/cTemp/mTemp/mobi-Py7CZY/EPUB/stylesheets/twemoji/vs-techbook/circled-0.webp","","","",""
"注意","W14015: 画像が無効で、本に組み込まれていません :   /private/var/folders/27/q9rb64qs7_g8mh15q2zdyjz80000gn/T/170b891e-7002-44ee-9267-b0ce113f5b7f/cTemp/mTemp/mobi-Py7CZY/EPUB/stylesheets/twemoji/vs-techbook/circled-1.webp","","","",""
"注意","W14015: 画像が無効で、本に組み込まれていません :   /private/var/folders/27/q9rb64qs7_g8mh15q2zdyjz80000gn/T/170b891e-7002-44ee-9267-b0ce113f5b7f/cTemp/mTemp/mobi-Py7CZY/EPUB/stylesheets/twemoji/vs-techbook/circled-10.webp","","","",""
"注意","W14015: 画像が無効で、本に組み込まれていません :   /private/var/folders/27/q9rb64qs7_g8mh15q2zdyjz80000gn/T/170b891e-7002-44ee-9267-b0ce113f5b7f/cTemp/mTemp/mobi-Py7CZY/EPUB/stylesheets/twemoji/vs-techbook/circled-11.webp","","","",""
"注意","W14015: 画像が無効で、本に組み込まれていません :   /private/var/folders/27/q9rb64qs7_g8mh15q2zdyjz80000gn/T/170b891e-7002-44ee-9267-b0ce113f5b7f/cTemp/mTemp/mobi-Py7CZY/EPUB/stylesheets/twemoji/vs-techbook/circled-12.webp","","","",""
"注意","W14015: 画像が無効で、本に組み込まれていません :   /private/var/folders/27/q9rb64qs7_g8mh15q2zdyjz80000gn/T/170b891e-7002-44ee-9267-b0ce113f5b7f/cTemp/mTemp/mobi-Py7CZY/EPUB/stylesheets/twemoji/vs-techbook/circled-13.webp","","","",""
"注意","W14015: 画像が無効で、本に組み込まれていません :   /private/var/folders/27/q9rb64qs7_g8mh15q2zdyjz80000gn/T/170b891e-7002-44ee-9267-b0ce113f5b7f/cTemp/mTemp/mobi-Py7CZY/EPUB/stylesheets/twemoji/vs-techbook/circled-14.webp","","","",""
"注意","W14015: 画像が無効で、本に組み込まれていません :   /private/var/folders/27/q9rb64qs7_g8mh15q2zdyjz80000gn/T/170b891e-7002-44ee-9267-b0ce113f5b7f/cTemp/mTemp/mobi-Py7CZY/EPUB/stylesheets/twemoji/vs-techbook/circled-15.webp","","","",""
"注意","W14015: 画像が無効で、本に組み込まれていません :   /private/var/folders/27/q9rb64qs7_g8mh15q2zdyjz80000gn/T/170b891e-7002-44ee-9267-b0ce113f5b7f/cTemp/mTemp/mobi-Py7CZY/EPUB/stylesheets/twemoji/vs-techbook/circled-16.webp","","","",""
