# 漢字レベル判定用データ（vs metrics の「漢字レベル（ルビ候補）」用）
# 各行: 漢字<TAB>レベル。1〜6=小学校の学年別配当漢字（教育漢字＝L0）、中学=中学で習う常用漢字（L1）。
# 出典: 文部科学省「学年別漢字配当表」/ 文化庁「常用漢字表」（kanjiapi.dev 経由で取得した事実データ）。
# L2（JIS第一水準∖常用）・L3（JIS第二水準）・L4（JIS外）は符号位置から算出するため本ファイルには含めない。
妖	中学
妙	中学
妥	中学
妨	中学
妬	中学
姓	中学
姫	中学
姻	中学
威	中学
娘	中学
娠	中学
娯	中学
婆	中学
婚	中学
婿	中学
媒	中学
媛	中学
嫁	中学
嫉	中学
嫌	中学
嫡	中学
嬢	中学
孔	中学
孤	中学
宛	中学
宜	中学
宰	中学
宴	中学
宵	中学
寂	中学
寛	中学
寝	中学
寡	中学
寧	中学
審	中学
寮	中学
寿	中学
封	中学
尉	中学
尋	中学
尚	中学
尻	中学
尼	中学
尽	中学
尾	中学
尿	中学
屈	中学
履	中学
屯	中学
岐	中学
岡	中学
岬	中学
岳	中学
峠	中学
峡	中学
峰	中学
崇	中学
崎	中学
崖	中学
崩	中学
嵐	中学
巡	中学
巧	中学
巨	中学
巾	中学
帆	中学
帝	中学
帥	中学
帽	中学
幅	中学
幣	中学
幻	中学
幽	中学
幾	中学
床	中学
庶	中学
庸	中学
廃	中学
廉	中学
廊	中学
廷	中学
弄	中学
弊	中学
弐	中学
弔	中学
弥	中学
弦	中学
弧	中学
弾	中学
彙	中学
彩	中学
彫	中学
彰	中学
影	中学
彼	中学
征	中学
徐	中学
御	中学
循	中学
微	中学
徴	中学
徹	中学
忌	中学
忍	中学
忙	中学
怒	中学
怖	中学
怠	中学
怨	中学
怪	中学
恋	中学
恐	中学
恒	中学
恣	中学
恥	中学
恨	中学
恭	中学
恵	中学
悔	中学
悟	中学
悠	中学
患	中学
悦	中学
悩	中学
悼	中学
惑	中学
惜	中学
惧	中学
惨	中学
惰	中学
愁	中学
愉	中学
愚	中学
慄	中学
慈	中学
慌	中学
慎	中学
慕	中学
慢	中学
慨	中学
慮	中学
慰	中学
慶	中学
憂	中学
憎	中学
憤	中学
憧	中学
憩	中学
憬	中学
憶	中学
憾	中学
懇	中学
懐	中学
懲	中学
懸	中学
戒	中学
戚	中学
戯	中学
戴	中学
戻	中学
房	中学
扇	中学
扉	中学
払	中学
扱	中学
扶	中学
抄	中学
把	中学
抑	中学
抗	中学
抜	中学
択	中学
披	中学
抱	中学
抵	中学
抹	中学
押	中学
抽	中学
拉	中学
拍	中学
拐	中学
拒	中学
拓	中学
拘	中学
拙	中学
拠	中学
括	中学
拭	中学
拳	中学
拶	中学
拷	中学
挑	中学
挟	中学
挨	中学
挫	中学
振	中学
挿	中学
捉	中学
捕	中学
捗	中学
捜	中学
据	中学
捻	中学
掃	中学
掌	中学
排	中学
掘	中学
掛	中学
控	中学
措	中学
掲	中学
描	中学
揚	中学
換	中学
握	中学
援	中学
揺	中学
搬	中学
搭	中学
携	中学
搾	中学
摂	中学
摘	中学
摩	中学
摯	中学
撃	中学
撤	中学
撮	中学
撲	中学
擁	中学
擦	中学
擬	中学
攻	中学
敏	中学
敢	中学
敷	中学
斉	中学
斎	中学
斑	中学
斗	中学
斜	中学
斤	中学
斥	中学
斬	中学
施	中学
旋	中学
既	中学
旦	中学
旨	中学
旬	中学
旺	中学
昆	中学
昇	中学
昧	中学
是	中学
普	中学
晶	中学
